time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,1200,2000,1800,12000,0,cruise,0,101,8000,1500,0
0.2,1160,2000,1800,11000,0,cruise,0,101,7000,1500,0
0.4,1120,2000,1800,10000,0,cruise,0,101,6000,1500,0
0.6,1080,2000,1800,9000,0,cruise,0,101,5000,1500,0
0.8,1040,2000,1800,8000,0,cruise,0,101,4000,1500,0
1.0,1000,2000,1800,7000,0,stop,0,101,3000,1500,0
1.2,920,2000,1800,6000,0,stop,0,101,2500,1500,0
1.4,840,2000,1800,5000,0,stop,0,101,2000,1500,0
1.6,760,2000,1800,4000,0,stop,0,101,1500,1500,0
1.8,680,2000,1800,3000,0,stop,0,101,1000,1500,0
2.0,560,2000,1800,2000,0,stop,0,101,500,1500,0
2.2,420,2000,1800,1200,0,stop,0,101,,,
2.4,280,2000,1800,600,0,stop,0,101,,,
2.6,120,2000,1800,100,0,stop,0,101,,,
2.8,0,2000,1800,30,0,stop,1,101,,,
