time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,0.0,2200.0,2200.0,5000.0,-15.0,cruise,0,3,,,
1.0,600.0,2200.0,2200.0,4500.0,-15.0,cruise,0,3,,,
2.0,1200.0,2200.0,2200.0,4000.0,-15.0,cruise,0,3,,,
3.0,1800.0,2200.0,2200.0,3500.0,-15.0,cruise,0,3,,,
4.0,2100.0,2200.0,2200.0,3000.0,-15.0,cruise,0,3,,,
5.0,2200.0,2200.0,2200.0,2500.0,-15.0,cruise,0,3,,,
6.0,2100.0,2200.0,2200.0,2000.0,-15.0,stop,0,3,,,
7.0,1800.0,2200.0,2200.0,1500.0,-15.0,stop,0,3,,,
8.0,1400.0,2200.0,2200.0,1000.0,-15.0,stop,0,3,,,
9.0,1000.0,2200.0,2200.0,500.0,-15.0,stop,0,3,,,
10.0,500.0,2200.0,2200.0,200.0,-15.0,stop,0,3,,,
10.5,200.0,2200.0,2200.0,50.0,-15.0,stop,0,3,,,
11.0,50.0,2200.0,2200.0,10.0,-15.0,stop,0,3,,,
11.5,5.0,2200.0,2200.0,0.0,-15.0,stop,1,3,,,
