time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,0.0,2200.0,2200.0,5000.0,20.0,cruise,0,2,,,
1.0,400.0,2200.0,2200.0,4500.0,20.0,cruise,0,2,,,
2.0,800.0,2200.0,2200.0,4000.0,20.0,cruise,0,2,,,
3.0,1200.0,2200.0,2200.0,3500.0,20.0,cruise,0,2,,,
4.0,1500.0,2200.0,2200.0,3000.0,20.0,cruise,0,2,,,
5.0,1700.0,2200.0,2200.0,2500.0,20.0,cruise,0,2,,,
6.0,1700.0,2200.0,2200.0,2000.0,20.0,stop,0,2,,,
7.0,1500.0,2200.0,2200.0,1500.0,20.0,stop,0,2,,,
8.0,1200.0,2200.0,2200.0,1000.0,20.0,stop,0,2,,,
9.0,800.0,2200.0,2200.0,500.0,20.0,stop,0,2,,,
10.0,400.0,2200.0,2200.0,200.0,20.0,stop,0,2,,,
10.5,150.0,2200.0,2200.0,50.0,20.0,stop,0,2,,,
11.0,50.0,2200.0,2200.0,10.0,20.0,stop,0,2,,,
11.5,10.0,2200.0,2200.0,0.0,20.0,stop,1,2,,,
