time_s,train_speed,ebi_speed,run_level_speed,distance_to_stop,grade,phase,train_stopped,stop_point_id,restriction_distance,restriction_speed,restriction_grade
0.0,0.0,2200.0,2200.0,0.0,0.0,cruise,0,0,5000,1000,0.0
0.5,500.0,2200.0,2200.0,0.0,0.0,cruise,0,0,4500,1000,0.0
1.0,1000.0,2200.0,2200.0,0.0,0.0,cruise,0,0,4000,1000,0.0
1.5,1500.0,2200.0,2200.0,0.0,0.0,cruise,0,0,3500,1000,0.0
2.0,1800.0,2200.0,2200.0,0.0,0.0,cruise,0,0,3000,1000,0.0
2.5,1900.0,2200.0,2200.0,0.0,0.0,cruise,0,0,2500,1000,0.0
3.0,1800.0,2200.0,2200.0,0.0,0.0,cruise,0,0,2000,1000,0.0
3.5,1500.0,2200.0,2200.0,0.0,0.0,cruise,0,0,1500,1000,0.0
4.0,1200.0,2200.0,2200.0,0.0,0.0,cruise,0,0,1000,1000,0.0
4.5,1000.0,2200.0,2200.0,0.0,0.0,cruise,0,0,500,1000,0.0
5.0,1000.0,2200.0,2200.0,0.0,0.0,cruise,0,0,0,1000,0.0
5.5,1000.0,2200.0,2200.0,0.0,0.0,cruise,0,0,0,1000,0.0
